00210,XX00210,XX
00211,XX
00212,XX
00213,XX
00214,XX
00215,XX
00401,XX
00501,6B
00544,6B
01001,5B
01002,5B
01003,5B
01004,5B
01005,5B
01007,5B
01008,5B
01009,5B
01010,5B
01011,5B
01012,5B
01013,5B
01014,5B
01020,5B
01021,5B
01022,5B
01026,5B
01027,5B
01028,5B
01029,5B
01030,5B
01031,5B
01032,5B
01033,5B
01034,5B
01035,5B
01036,5B
01037,5B
01038,5B
01039,5B
01040,5B
01041,5B
01050,5B
01053,5B
01054,5B
01056,5B
01057,5B
01059,5B
01060,5B
01061,5B
01062,5B
01063,5B
01066,5B
01068,5B
01069,5B
01070,5B
01071,5B
01072,5B
01073,5B
01074,5B
01075,5B
01077,5B
01079,5B
01080,5B
01081,5B
01082,5B
01083,5B
01084,5B
01085,5B
01086,5B
01088,5B
01089,5B
01090,5B
01092,5B
01093,5B
01094,5B
01095,5B
01096,5B
01097,5B
01098,5B
01101,5B
01102,5B
01103,5B
01104,5B
01105,5B
01106,5B
01107,5B
01108,5B
01109,5B
01111,5B
01114,XX
01115,5B
01116,5B
01118,5B
01119,5B
01128,5B
01129,5B
01133,5B
01138,5B
01139,5B
01144,5B
01151,5B
01152,5B
01195,XX
01199,5B
01201,5B
01202,5B
01203,5B
01220,5B
01222,5B
01223,5B
01224,5B
01225,5B
01226,5B
01227,5B
01229,5B
01230,5B
01235,5B
01236,5B
01237,5B
01238,5B
01240,5B
01242,5B
01243,5B
01244,5B
01245,5B
01247,5B
01252,5B
01253,5B
01254,5B
01255,5B
01256,5B
01257,5B
01258,5B
01259,5B
01260,5B
01262,5B
01263,5B
01264,5B
01266,5B
01267,5B
01270,5B
01301,5B
01302,5B
01330,5B
01331,5B
01337,5B
01338,5B
01339,5B
01340,5B
01341,5B
01342,5B
01343,5B
01344,5B
01346,5B
01347,5B
01349,5B
01350,5B
01351,5B
01354,5B
01355,5B
01360,5B
01364,5B
01366,5B
01367,5B
01368,5B
01369,XX
01370,5B
01373,5B
01375,5B
01376,5B
01378,5B
01379,5B
01380,5B
01420,5B
01430,5B
01431,5B
01432,5B
01433,XX
01434,XX
01436,5B
01438,5B
01440,5B
01441,5B
01450,5B
01451,5B
01452,5B
01453,5B
01460,5B
01462,5B
01463,5B
01464,5B
01466,XX
01467,5B
01468,5B
01469,5B
01470,5B
01471,5B
01472,5B
01473,5B
01474,5B
01475,5B
01477,5B
01501,5B
01503,5B
01504,5B
01505,5B
01506,5B
01507,5B
01508,5B
01509,5B
01510,5B
01515,5B
01516,5B
01517,5B
01518,5B
01519,5B
01520,5B
01521,5B
01522,5B
01523,5B
01524,5B
01525,5B
01526,5B
01527,5B
01529,5B
01531,5B
01532,5B
01534,5B
01535,5B
01536,5B
01537,5B
01538,5B
01539,XX
01540,5B
01541,5B
01542,5B
01543,5B
01545,5B
01546,5B
01550,5B
01560,5B
01561,5B
01562,5B
01564,5B
01566,5B
01568,5B
01569,5B
01570,5B
01571,5B
01580,5B
01581,5B
01582,5B
01583,5B
01585,5B
01586,5B
01587,XX
01588,5B
01590,5B
01601,5B
01602,5B
01603,5B
01604,5B
01605,5B
01606,5B
01607,5B
01608,5B
01609,5B
01610,5B
01611,5B
01612,5B
01613,5B
01614,5B
01615,5B
01653,5B
01654,5B
01655,5B
01701,6A
01702,6A
01703,6A
01704,6A
01705,6A
01718,6A
01719,6A
01720,6A
01721,6A
01730,6A
01731,6A
01740,6A
01741,6A
01742,6A
01745,6A
01746,6A
01747,6A
01748,6A
01749,6A
01752,6A
01754,6A
01756,6A
01757,6A
01760,6A
01770,6A
01772,6A
01773,6A
01775,6A
01776,6A
01778,6A
01784,6A
01801,6A
01803,6A
01805,6A
01806,6A
01807,6A
01808,6A
01810,6A
01812,6A
01813,6A
01814,XX
01815,6A
01821,6A
01822,6A
01824,6A
01826,6A
01827,6A
01830,6A
01831,6A
01832,6A
01833,6A
01834,6A
01835,6A
01840,6A
01841,6A
01842,6A
01843,6A
01844,6A
01845,6A
01850,6A
01851,6A
01852,6A
01853,6A
01854,6A
01860,6A
01862,6A
01863,6A
01864,6A
01865,6A
01866,6A
01867,6A
01876,6A
01879,6A
01880,6A
01885,6A
01886,6A
01887,6A
01888,6A
01889,6A
01890,6A
01899,6A
01901,6A
01902,6A
01903,6A
01904,6A
01905,6A
01906,6A
01907,6A
01908,6A
01910,6A
01913,6A
01915,6A
01921,6A
01922,6A
01923,6A
01929,6A
01930,6A
01931,6A
01936,6A
01937,6A
01938,6A
01940,6A
01944,6A
01945,6A
01947,XX
01949,6A
01950,6A
01951,6A
01952,6A
01960,6A
01961,6A
01964,XX
01965,6A
01966,6A
01969,6A
01970,6A
01971,6A
01982,6A
01983,6A
01984,6A
01985,6A
02018,6A
02019,6A
02020,6A
02021,6A
02025,6A
02026,6A
02027,6A
02030,6A
02031,6A
